interview__key	interview__id	Roster_AvantApres_2__id	Rsrc_PRV	Rsrc_RL	Roster_2_incomplet
42-26-62-28	ebb21764ee7647b2a671b9e5fc229d2c	5	124000	124000	0
42-26-62-28	ebb21764ee7647b2a671b9e5fc229d2c	6	0	0	0
42-26-62-28	ebb21764ee7647b2a671b9e5fc229d2c	7	120000	174000	0
42-26-62-28	ebb21764ee7647b2a671b9e5fc229d2c	8	0	0	0
42-26-62-28	ebb21764ee7647b2a671b9e5fc229d2c	9	0	0	0
42-26-62-28	ebb21764ee7647b2a671b9e5fc229d2c	10	3940000	2071620	0
42-26-62-28	ebb21764ee7647b2a671b9e5fc229d2c	11	0	0	0
91-09-97-49	75a04315aedb4398a6566696ce19423c	1	0	0	0
91-09-97-49	75a04315aedb4398a6566696ce19423c	2	500000	500000	0
91-09-97-49	75a04315aedb4398a6566696ce19423c	3	0	0	0
91-09-97-49	75a04315aedb4398a6566696ce19423c	4	0	0	0
91-09-97-49	75a04315aedb4398a6566696ce19423c	5	0	0	0
91-09-97-49	75a04315aedb4398a6566696ce19423c	6	0	0	0
91-09-97-49	75a04315aedb4398a6566696ce19423c	7	250000	250000	0
91-09-97-49	75a04315aedb4398a6566696ce19423c	8	0	0	0
91-09-97-49	75a04315aedb4398a6566696ce19423c	9	0	0	0
91-09-97-49	75a04315aedb4398a6566696ce19423c	10	0	0	0
91-09-97-49	75a04315aedb4398a6566696ce19423c	11	0	0	0
98-65-82-70	9ab4ad3723b94526b752dc8825725bc0	1	2000000	1000000	0
98-65-82-70	9ab4ad3723b94526b752dc8825725bc0	2	4000000	2000000	0
98-65-82-70	9ab4ad3723b94526b752dc8825725bc0	3	0	0	0
98-65-82-70	9ab4ad3723b94526b752dc8825725bc0	4	0	0	0
98-65-82-70	9ab4ad3723b94526b752dc8825725bc0	5	0	0	0
98-65-82-70	9ab4ad3723b94526b752dc8825725bc0	6	0	0	0
98-65-82-70	9ab4ad3723b94526b752dc8825725bc0	7	0	0	0
98-65-82-70	9ab4ad3723b94526b752dc8825725bc0	8	0	0	0
98-65-82-70	9ab4ad3723b94526b752dc8825725bc0	9	0	0	0
98-65-82-70	9ab4ad3723b94526b752dc8825725bc0	10	0	0	0
98-65-82-70	9ab4ad3723b94526b752dc8825725bc0	11	0	0	0
